"HostName","CPUUsage","RAMUsage","Disk1Usage","Disk2Usage","Disk3Usage","PowerOnFailureTime","ShutdownFailureTime","OverallStatus","FailedPercentage","HighLoadPercentage","CriticalErrorPercentage","TotalActiveSessions","TotalUpdatesInstalled","TotalCriticalLogs","TotalErrorLogs","TotalHostsShutdownFailed","BootTime","InventoryDatestamp"
"n7rcws","8","26,03","78.7 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","9","26,01","78.7 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-04 03:04:39",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-04 03:04:39",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","6","29,76","78.85 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","10","29,76","78.85 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-04 03:26:51",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-04 03:26:51",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","4","30,39","78.86 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","13","30,41","78.86 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-04 05:40:11",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-04 05:40:11",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,"2024-11-04 08:30:32",,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost",,,,,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-04 08:30:32",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,"2024-11-04 10:15:38",,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost",,,,,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
