"Status","Timestamp","HostName"
"Power-on Failed","2024-11-04 03:04:39","U00200025-BAV02"
"Power-on Failed","2024-11-04 03:04:39","i2-ca-29"
"Host in Session [ notre]","2024-11-04 03:04:55","localhost"
"Host in Session [ notre]","2024-11-04 03:04:55","n7rcws"
"Power-on Failed","2024-11-04 03:26:51","U00200025-BAV02"
"Power-on Failed","2024-11-04 03:26:51","i2-ca-29"
"Host in Session [ notre]","2024-11-04 03:27:08","localhost"
"Host in Session [ notre]","2024-11-04 03:27:08","n7rcws"
"Power-on Failed","2024-11-04 05:40:11","U00200025-BAV02"
"Power-on Failed","2024-11-04 05:40:11","i2-ca-29"
"Host in Session [ notre]","2024-11-04 05:40:28","localhost"
"Host in Session [ notre]","2024-11-04 05:40:28","n7rcws"
"Power-on Failed","2024-11-04 08:23:00","i2-ca-29"
"Power-on Failed","2024-11-04 08:23:00","n7rcws"
"Host in Session [ administrador]","2024-11-04 08:24:02","localhost"
"Host in Session [ administrador]","2024-11-04 08:24:02","U00200025-BAV02"
"Power-on Failed","2024-11-04 08:30:32","i2-ca-29"
"Power-on Failed","2024-11-04 08:30:32","n7rcws"
"Host in Session [ administrador]","2024-11-04 08:31:32","localhost"
"Host in Session [ administrador]","2024-11-04 08:31:32","U00200025-BAV02"
"Power-on Failed","2024-11-04 10:15:38","i2-ca-29"
"Power-on Failed","2024-11-04 10:15:38","n7rcws"
"Host in Session [ administrador]","2024-11-04 10:16:40","localhost"
"Host in Session [ administrador]","2024-11-04 10:16:41","U00200025-BAV02"
"Power-on Failed","2024-11-04 12:11:51","i2-ca-29"
"Power-on Failed","2024-11-04 12:11:51","n7rcws"
"Power-on Failed","2024-11-04 12:27:58","i2-ca-29"
"Power-on Failed","2024-11-04 12:27:58","n7rcws"
"Host in Session [ administrador]","2024-11-04 12:28:58","localhost"
"Host in Session [ administrador]","2024-11-04 12:28:59","U00200025-BAV02"
"Power-on Failed","2024-11-04 12:44:44","i2-ca-29"
"Power-on Failed","2024-11-04 12:44:44","n7rcws"
"Host in Session [ administrador]","2024-11-04 12:45:44","localhost"
"Host in Session [ administrador]","2024-11-04 12:45:45","U00200025-BAV02"
"Power-on Failed","2024-11-04 21:28:30","U00200025-BAV02"
"Power-on Failed","2024-11-04 21:28:30","i2-ca-29"
"Host in Session [ notre]","2024-11-04 21:28:46","localhost"
"Host in Session [ notre]","2024-11-04 21:28:46","n7rcws"
"Power-on Failed","2024-11-04 21:33:38","U00200025-BAV02"
"Power-on Failed","2024-11-04 21:33:38","i2-ca-29"
"Host in Session [ notre]","2024-11-04 21:33:55","localhost"
"Host in Session [ notre]","2024-11-04 21:33:55","n7rcws"
"Power-on Failed","2024-11-04 21:39:56","U00200025-BAV02"
"Power-on Failed","2024-11-04 21:39:56","i2-ca-29"
"Host in Session [ notre]","2024-11-04 21:40:13","localhost"
"Host in Session [ notre]","2024-11-04 21:40:13","n7rcws"
"Power-on Failed","2024-11-04 22:29:04","U00200025-BAV02"
"Power-on Failed","2024-11-04 22:29:04","i2-ca-29"
"Host in Session [ notre]","2024-11-04 22:29:21","localhost"
"Host in Session [ notre]","2024-11-04 22:29:21","n7rcws"
"Power-on Failed","2024-11-05 02:51:49","U00200025-BAV02"
"Power-on Failed","2024-11-05 02:51:49","i2-ca-29"
"Host in Session [ notre]","2024-11-05 02:52:06","localhost"
"Host in Session [ notre]","2024-11-05 02:52:06","n7rcws"
"Power-on Failed","2024-11-05 02:53:36","U00200025-BAV02"
"Power-on Failed","2024-11-05 02:53:36","i2-ca-29"
"Host in Session [ notre]","2024-11-05 02:53:53","localhost"
"Host in Session [ notre]","2024-11-05 02:53:53","n7rcws"
"Power-on Failed","2024-11-05 03:06:07","U00200025-BAV02"
"Power-on Failed","2024-11-05 03:06:07","i2-ca-29"
"Host in Session [ notre]","2024-11-05 03:06:23","localhost"
"Host in Session [ notre]","2024-11-05 03:06:23","n7rcws"
"Power-on Failed","2024-11-05 03:10:14","U00200025-BAV02"
"Power-on Failed","2024-11-05 03:10:14","i2-ca-29"
"Host in Session [ notre]","2024-11-05 03:10:30","localhost"
"Host in Session [ notre]","2024-11-05 03:10:30","n7rcws"
"Power-on Failed","2024-11-05 03:34:40","U00200025-BAV02"
"Power-on Failed","2024-11-05 03:34:40","i2-ca-29"
"Host in Session [ notre]","2024-11-05 03:34:57","localhost"
"Host in Session [ notre]","2024-11-05 03:34:57","n7rcws"
"Power-on Failed","2024-11-05 03:52:28","U00200025-BAV02"
"Power-on Failed","2024-11-05 03:52:28","i2-ca-29"
"Host in Session [ notre]","2024-11-05 03:52:44","localhost"
"Host in Session [ notre]","2024-11-05 03:52:44","n7rcws"
"Power-on Failed","2024-11-05 04:01:08","U00200025-BAV02"
"Power-on Failed","2024-11-05 04:01:08","i2-ca-29"
"Host in Session [ notre]","2024-11-05 04:01:24","localhost"
"Host in Session [ notre]","2024-11-05 04:01:24","n7rcws"
"Power-on Failed","2024-11-05 04:04:26","U00200025-BAV02"
"Power-on Failed","2024-11-05 04:04:26","i2-ca-29"
"Host in Session [ notre]","2024-11-05 04:04:42","localhost"
"Host in Session [ notre]","2024-11-05 04:04:42","n7rcws"
"Power-on Failed","2024-11-05 04:14:46","U00200025-BAV02"
"Power-on Failed","2024-11-05 04:14:46","i2-ca-29"
"Host in Session [ notre]","2024-11-05 04:15:03","localhost"
"Host in Session [ notre]","2024-11-05 04:15:03","n7rcws"
"Power-on Failed","2024-11-05 04:31:28","U00200025-BAV02"
"Power-on Failed","2024-11-05 04:31:28","i2-ca-29"
"Power-on Failed","2024-11-05 04:34:33","U00200025-BAV02"
"Power-on Failed","2024-11-05 04:34:33","i2-ca-29"
"Power-on Failed","2024-11-05 04:45:35","U00200025-BAV02"
"Power-on Failed","2024-11-05 04:45:35","i2-ca-29"
"Power-on Failed","2024-11-05 04:55:44","U00200025-BAV02"
