"TotalHosts","FailedHostsCount","FailedPercentage","HighLoadPercentage","CriticalErrorPercentage","ActiveSessionPercentage","TotalUpdatesInstalled","TotalCriticalLogs","TotalErrorLogs","TotalActiveSessions","TotalHostsShutdownFailed","OverallStatus"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
"4","2","50","0","0","50","0","0","0","2","0","Partial Failures"
